Qty,Value,Device,Package,Parts,Description
1,,MOSFET_P-CHANNEL_SOT23-3,SOT23-3,Q2,
1,!ECL_OUT,TESTPOINT_PAD,TESTPOINT_PAD,TP2,
1,!LVDS_OUT,TESTPOINT_PAD,TESTPOINT_PAD,TP3,
1,+5V,TESTPOINT_A,1X01,TP22,
1,-3.3V,TPS7A30,VSON,VR3,-35V -200mA ultralow noise negative linear regulator
1,-5V,TESTPOINT_A,1X01,TP24,
2,0,RES_0402,0402,"R14, R15",
2,1.8k,RES_0402,0402,"R10, R13",
2,100,RES_0402,0402,"R1, R5",
22,100nF,CAP_0402,0402,"C1, C2, C6, C7, C9, C10, C11, C12, C13, C14, C15, C16, C17, C22, C23, C24, C25, C27, C31, C33, C35, C37",
3,10k,RES_0402,0402,"R24, R25, R26",
14,10nF,CAP_0402,0402,"C5, C8, C18, C19, C20, C21, C26, C28, C29, C30, C32, C34, C36, C38",
2,10pF,CAP_0402,0402,"C3, C4",
3,17.8k,RES_0402,0402,"R21, R22, R23",
4,1k,RES_0402,0402,"R17, R18, R19, R20",
1,210,RES_0402,0402,R3,
2,3.2k,RES_0402,0402,"R9, R12",
2,3.3V,TPS7A49,VSON,"VR1, VR2",36v 150mA ultralow noise positive linear regulator
2,50,RES_0402,0402,"R8, R11",
1,5500,RES_0402,0402,R16,
1,AD53X8,AD53X8,TSSOP-16,U5,"8/10/12 bit, 2.5v to 5.5v, 8 channel DAC"
1,ADCMP582,ADCMP582,QFN50P300X300X80-16N,U2,Ultrafast SiGe Voltage Comparator w/. PECL Outputs
1,ALD1101SAL,ALD1101SAL,SOIC_8,Q1,Dual Matched N channel mosfets
1,DAC_!LDAC!,TESTPOINT_A,1X01,TP18,
1,DAC_!SYNC!,TESTPOINT_A,1X01,TP19,
1,DAC_DIN,TESTPOINT_A,1X01,TP21,
1,DAC_OUT_A,TESTPOINT_A,1X01,TP7,
1,DAC_OUT_B,TESTPOINT_A,1X01,TP8,
1,DAC_OUT_E,TESTPOINT_A,1X01,TP17,
1,DAC_OUT_H,TESTPOINT_A,1X01,TP16,
1,DAC_SCLK,TESTPOINT_A,1X01,TP20,
4,DNP,RES_0402,0402,"R2, R4, R6, R7",
1,DS90LV028AQ,DS90LV028AQ,SOIC_8,U1,LVDS Dual Differential Line Receiver
1,ECL_OUT,TESTPOINT_PAD,TESTPOINT_PAD,TP4,
3,GND,TESTPOINT_A,1X01,"TP1, TP6, TP23",
1,HYS_PIN,TESTPOINT_A,1X01,TP10,
1,HYS_RSENSE,TESTPOINT_A,1X01,TP12,
2,LT6003_SOT23-5,LT6003_SOT23-5,SOT23-5,"U3, U4",OpAmp RrR 1.6v-16v Precision
1,LVDS_OUT,TESTPOINT_PAD,TESTPOINT_PAD,TP5,
1,MIRROR_GATE,TESTPOINT_A,1X01,TP11,
1,N3V3A,TESTPOINT_A,1X01,TP15,
1,P3V3A,TESTPOINT_A,1X01,TP13,
1,P3V3D,TESTPOINT_A,1X01,TP14,
2,SMA,SMA,J502-ND-142-0701-881/886,"X1, X2",
1,THRESH,TESTPOINT_A,1X01,TP9,
